Dataset,model,attack,acc,drop_ratio
Cora,GCN,clean,0.7084,0
Cora,GCN,random,0.693,0.0217
Cora,GCN,GRBCD,0.5166,0.2708
Cora,GCN,PRBCD,0.6045,0.1467
CiteSeer,GCN,clean,0.9333,0
CiteSeer,GCN,random,0.9108,0.0241
CiteSeer,GCN,GRBCD,0.8983,0.0375
CiteSeer,GCN,PRBCD,0.8174,0.1242
PubMed,GCN,clean,0.879,0
PubMed,GCN,random,0.8543,0.0281
PubMed,GCN,GRBCD,0.7102,0.192
PubMed,GCN,PRBCD,0.6848,0.2209
Cora,GCN(normalized adj),clean,0.7145,0
Cora,GCN(normalized adj),random,0.706,0.0119
Cora,GCN(normalized adj),GRBCD,0.6914,0.0323
Cora,GCN(normalized adj),PRBCD,0.6049,0.1534
CiteSeer,GCN(normalized adj),clean,0.9148,0
CiteSeer,GCN(normalized adj),random,0.8989,0.0174
CiteSeer,GCN(normalized adj),GRBCD,0.9118,0.0033
CiteSeer,GCN(normalized adj),PRBCD,0.8215,0.102
PubMed,GCN(normalized adj),clean,0.8839,0
PubMed,GCN(normalized adj),random,0.8679,0.0181
PubMed,GCN(normalized adj),GRBCD,0.83,0.061
PubMed,GCN(normalized adj),PRBCD,0.7914,0.1046
Cora,GRACE(w/o contrastive part),clean,0.6634,0
Cora,GRACE(w/o contrastive part),random,0.6176,0.0458
Cora,GRACE(w/o contrastive part),GRBCD,0.4107,0.2527
Cora,GRACE(w/o contrastive part),PRBCD,0.3711,0.2923
CiteSeer,GRACE(w/o contrastive part),clean,0.9579,0
CiteSeer,GRACE(w/o contrastive part),random,0.9267,0.0312
CiteSeer,GRACE(w/o contrastive part),GRBCD,0.8807,0.0772
CiteSeer,GRACE(w/o contrastive part),PRBCD,0.8846,0.0733
PubMed,GRACE(w/o contrastive part),clean,0.8831,0
PubMed,GRACE(w/o contrastive part),random,0.8397,0.0434
PubMed,GRACE(w/o contrastive part),GRBCD,0.6928,0.1903
PubMed,GRACE(w/o contrastive part),PRBCD,0.708,0.1751
Cora,DGI,clean,0.6332,0
Cora,DGI,random,0.6145,0.0295
Cora,DGI,GRBCD,0.4356,0.3124
Cora,DGI,PRBCD,0.4924,0.2223
CiteSeer,DGI,clean,0.8678,0
CiteSeer,DGI,random,0.8467,0.0243
CiteSeer,DGI,GRBCD,0.8298,0.055
CiteSeer,DGI,PRBCD,0.77,0.1126
PubMed,DGI,clean,0.8717,0
PubMed,DGI,random,0.8507,0.0593
PubMed,DGI,GRBCD,0.6985,0.198
PubMed,DGI,PRBCD,0.6745,0.226
